Title,Topic,Date,Year,Abs,WORD_COUNT
Gender homophily in online book networks,INFORMATION SCIENCES,May 2019,2019,"We measure the gender homophily (and other network statistics) on large-scale online book markets: amazon. corn and amazon. co. uk, using datasets describing millions of books sold to readers. Large book networks are created by sales (two books are connected if many readers have bought both books) and can recommend new books to buy. The networks are analysed by the gender of their first author: is book consumption assortative by gender?Book networks are indeed gender-assortative: readers globally prefer to read from one author gender (the global assortativity coefficients by gender is around 0.4). Although 33% of first authors among all books are female, female books are not proportionally sold together with male books: an average of 20% (and median of 11%) of books co-bought with male books are female books. Instead, female books make up on average more than half of the books co-bought with other female books.The gender makeup of literary genres and structural book communities show that the gender homophily originates in a gender skew not only in certain literary genres (a fact known from prior studies), but even more strongly in certain book communities, with these book communities spanning multiple literary genres. (C) 2019 Elsevier Inc. All rights reserved.",202
How MPs ties to interest groups matter for legislative co-sponsorship,SOCIAL NETWORKS,May 2019,2019,"This article investigates whether linkages between members of parliament (MPs) and interest groups influence MPs' activities of co-sponsoring legislative proposals. Based on statistical models for network data, the study builds on classical explanations of co-sponsorships highlighting the role of similar ties between MPs, such as party membership, legislative committee assignments, electoral district or gender. It shows that, on top of these traditional forms of homophily, MPs' ties to interest groups matter as well. MPs with ties to a similar type of interest groups are more likely to co-sponsor their respective proposals. The same holds for MPs with ties to groups active in the same policy domain. These findings have implications for the study of groups' lobbying, legislative behaviour and representative democracy.",121
Multiplicative coevolution regression models for longitudinal networks and nodal attributes,SOCIAL NETWORKS,May 2019,2019,"We introduce a simple and extendable coevolution model for the analysis of longitudinal network and nodal attribute data. The model features parameters that describe three phenomena: homophily, contagion and autocorrelation of the network and nodal attribute process. Homophily here describes how changes to the network may be associated with between-node similarities in terms of their nodal attributes. Contagion refers to how node-level attributes may change depending on the network. The model we present is based upon a pair of intertwined autoregressive processes. We obtain least-squares parameter estimates for continuous-valued fully observed network and attribute data. We also provide methods for Bayesian inference in several other cases, including ordinal network and attribute data, and models involving latent nodal attributes. These model extensions are applied to an analysis of international relations data and to data from a study of teen delinquency and friendship networks.",142
Researchers collaborate with same-gendered colleagues more often than expected across the life sciences,PLOS ONE,Apr 26 2019,2019,"Evidence suggests that women in academia are hindered by conscious and unconscious biases, and often feel excluded from formal and informal opportunities for research collaboration. In addition to ensuring fairness and helping to redress gender imbalance in the academic workforce, increasing women's access to collaboration could help scientific progress by drawing on more of the available human capital. Here, we test whether researchers tend to collaborate with same-gendered colleagues, using more stringent methods and a larger dataset than in past work. Our results reaffirm that researchers co-publish with colleagues of the same gender more often than expected by chance, and show that this 'gender homophily' is slightly stronger today than it was 10 years ago. Contrary to our expectations, we found no evidence that homophily is driven mostly by senior academics, and no evidence that homophily is stronger in fields where women are in the minority. Interestingly, journals with a high impact factor for their discipline tended to have comparatively low homophily, as predicted if mixed-gender teams produce better research. We discuss some potential causes of gender homophily in science.",180
An adaptive temporal-causal network model for social networks based on the homophily and more-becomes-more principle,NEUROCOMPUTING,Apr 21 2019,2019,"This study describes the use of adaptive temporal-causal networks to model and simulate the development of mutually interacting opinion states and connections between individuals in social networks. The focus is on adaptive networks combining the homophily principle with the more becomes more principle. The model has been used to analyse a data set concerning opinions about the use of alcohol and tobacco, and friendship relations. The achieved results provide insights in the potential of the approach. (C) 2019 The Author(s). Published by Elsevier B.V.",
Community detection in facebook activity networks and presenting a new multilayer label propagation algorithm for community detection,INTERNATIONAL JOURNAL OF MODERN PHYSICS B,Apr 20 2019,2019,"The emergence of online social networks has revolutionized millions of web users' behavior so that their interactions with each other produce huge amounts of data on different activities. Community detection, herein, is one of the most important tasks. The very recent trend is to detect meaningful communities based on users' interactions or the activity network. However, in many of such studies, authors consider the basic network model while almost ignoring the model of the interactions in the multi-layer network. In this research, an experimental study is done to compare community detection in Facebook friendship network to that of activity network, considering different activities in Facebook OSN such as sharing. Then, a new community detection evaluation metric based on homophily is proposed. Eventually, a new method of community detection based on different activities in Facebook social network is presented. In this method, we generalized three familiar similarity methods, Jaccard, Common Neighbors and Adamic-Adar for multi-layered network model.",
"The ""Other Side of The Fence"": A Learning- And Control-Based Investigation Of The Relationship Between Deviance And Friendship Quality",DEVIANT BEHAVIOR,,2019,"Utilizing frameworks of social control and differential association theories, this study addresses the extent to which deviance (a predictor) is related to friendship quality (the outcome). Using dyadic data, results demonstrate that the highest estimates of friendship quality come from actors who have non-deviant friends and who also refrain from theft and violence themselves. Shared deviance within the friendship, referred to as 'homophily,' harms friendship quality, although it does not mediate or moderate the deviance - friendship quality link. Overall, deviance relates to friendship quality in a way that supports a bonding tradition more than a learning tradition.",
Networked individualism and learning in organizations An ego-network perspective on informal learning ties,JOURNAL OF WORKPLACE LEARNING,Apr 3 2019,2019,"Purpose - This paper aims to investigate the extent professionals from the vocational sector are networked individuals. The authors explore how professionals use their personal networks to engage in a wide variety of learning activities and examine what social mechanisms influence professionals' agency to form personal informal learning networks.Design/methodology/approach - This study applied a mixed- method approach to data collection. Social network data were gathered among school professionals working in the vocational sector. Ego- network analysis was performed. A total of 24 in- depth, semi- structured, qualitative interviews were analyzed.Findings - This study found that networked individualism is not represented to its full potential in the vocational sector. However, it is important to form informal learning ties with different stakeholders because all types of informal learning ties serve different learning purposes. The extent to which social mechanisms (i. e. proximity, trust, level of expertise and homophily) influence professionals' agency to form informal learning ties differs depending on the stakeholder with whom the informal learning ties are formed.Research limitations/implications - This study excludes the investigation of social mechanisms that shape learning through more impersonal virtual learning resources, such as social media or expert forums. Moreover, the authors only included individual- and dyadic- level socialmechanisms. Practical implications - By investigating the social mechanisms that shape informal learning ties, this study provides insights how professionals can be stimulated to build rich personal learning networks in the vocational sector.Originality/value - The authors extend earlier research with in- depth information on the different types of learning activities professionals engage in in their personal learning networks with different stakeholders. The ego- network perspective reveals how different social mechanisms influence professionals' agency to shape informal learning networks with different stakeholders.",
The Earnings of Immigrant and Native-Born Men in Canada: The Role of Social Networks and Social Capital,SOCIOLOGICAL QUARTERLY,Apr 3 2019,2019,"Using data from the Canadian General Social Survey (2008), this study considers the role of social networks in immigrants' earnings. Despite higher levels of education, immigrants continue to earn less than native-born Canadians. This paper shows that social network characteristics are associated with earnings net of the effects of human capital and visible minority status. Social networks are important for understanding immigrants' earnings both as a direct cause of employment disadvantages and as a force that exacerbates the disadvantages that immigrants face due to racial discrimination, a lack of proficiency in Canada's official languages, and/or discrepancies over foreign credentials. While most current data on immigrant networks is limited to specific ethnic groups, cities, and/or occupations, the present study contributes to scholarship by generalizing data to all immigrants in Canada. This study also expands the temporal scope by comparing immigrants who arrived in the 2000s, 1990s, and earlier. Future research and public policy should put greater emphasis on the role of social networks in the economic integration of new immigrants.",
The Impact of Relational Characteristics on Consumer Responses to Word of Mouth on Social Networking Sites,INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,Apr 3 2019,2019,"Previous research has consistently found an effect of the valence (positive vs. negative) of electronic word of mouth in general and of word of mouth on a social networking site (sWOM) specifically on consumer responses. The current study investigates how interpersonal and person-to-site relational characteristics (homophily, tie strength, and source credibility) moderate this effect on consumer responses to sWOM (behavioral and positive word-of-mouth intention). The results show that interpersonal homophily and source credibility both significantly reinforce the effect of sWOM valence on behavioral intention and positive word-of-mouth intention. Only considering person-to-site relational characteristics as antecedents, (person-to-site) homophily and source credibility reinforce the effect of sWOM valence on behavioral intention and on positive word-of-mouth intention. However, including both the interpersonal and the person-to-site relational characteristics as antecedents results in all person-to-site relational characteristics becoming nonsignificant as moderators. This study advances the sWOM literature by concurrently examining how both interpersonal and person-to site relational characteristics moderate the effect of message valence on sWOM responses. The findings imply that marketers should try to stimulate sWOM from credible sources that are homophilous to the target audience, as these relationships reinforce the positive impact of sWOM valence on behavioral intentions.",
Homophily around specialized foraging underlies dolphin social preferences,BIOLOGY LETTERS,Apr 2019,2019,"Individuals often associate socially with those who behave the same way. This principle, homophily, could structure populations into distinct social groups. We tested this hypothesis in a bottlenose dolphin population that appeared to be clustered around a specialized foraging tactic involving cooperation with net-casting fishermen, but in which other potential drivers of such social structure have never been assessed. We measured and controlled for the contribution of sex, age, genetic relatedness, home range and foraging tactics on social associations to test for homophily effects. Dolphins tended to group with others having similar home ranges and frequency of using the specialized foraging tactic, but not other traits. Such social preferences were particularly clear when dolphins were not foraging, showing that homophily extends beyond simply participating in a specific tactic. Combined, these findings highlight the need to account for multiple drivers of group formation across behavioural contexts to determine true social affiliations. We suggest that homophily around behavioural specialization can be a major driver of social patterns, with implications for other social processes. If homophily based on specialized tactics underlies animal social structures more widely, then it may be important in modulating opportunities for social learning, and therefore influence patterns of cultural transmission.",
Homophily and the Persistence of Disagreement,ECONOMIC JOURNAL,Apr 2019,2019,"This article studies the persistence of disagreement using a dynamic model in which individuals update their attitudes by averaging those of others with whom they relate. Individuals establish homophilous relations and thus favour others with similar (dichotomous) attributes. Attributes determine the intensity of relations to the extent to which there is a substantial difference in attitudes between the two groups of individuals possessing and lacking them. The main finding is that disagreement, which materialises in two different groups of thinking, persists if and only if individuals develop sufficiently intense relations over time with others similar in one specific attribute. Relations with dissimilar others deteriorate and thus these two groups emerge.",
Improving health communication with photographic images that increase identification in three minority populations,HEALTH EDUCATION RESEARCH,Apr 2019,2019,"The homophily principle, that perceived similarities among people produce positive reactions, is a cross-cultural, global phenomenon. This study aimed to test the prediction that photographs that depict models similar to the target population improve health communication by increasing perceived identification in three racial/ethnic populations. Three separate nationally representative stratified samples (n = 1638) of African American, Hispanic and Native American adults were drawn from GfK's Knowledge Panel. Participants read a message advocating increased physical activity and improved diets and completed measures on behavioral intentions, outcome and self-efficacy expectations and identification. The message contained photographs from a stock photograph service or photographs created for the research project to match the three minority populations, Real Health Photos (RHP). Structural equation modeling confirmed the theoretical hypothesis that RHP which matched the minority population increased behavioral intentions and was mediated by identification (P < 0.05) in all three racial/ethnic minority samples. Messages with only half of the matched RHP images had these same positive indirect effects among African Americans and Hispanics (P < 0.05). The impact of matching visual images in health messages to recipients derived from identification with the characters in images. Homophily and identification are hardwired, evolutionary, biological phenomena that should be capitalized on health educators with minority populations.",
Do psychopathic birds of a feather flock together? Psychopathic personality traits and romantic preferences,JOURNAL OF PERSONALITY,Apr 2019,2019,"Objective: The goal of the present studies was to investigate whether people are especially attracted to psychopathic traits, and whether there are individual differences in such attraction.Method: Female undergraduates (N= 270; M-age =19; 57% White, 20% Asian, 8% Black) and female and male community members (N=426; M-age = 37; 56% female; 81% Caucasian, 10% African American, 4% Asian) reported on their own personality and constructed their ideal mate for a dating, short-term, and long-term relationship from a list of 70 characteristics drawn from well-validated criteria for psychopathic personality and diagnostic criteria for DSM-5 personality disorders (PDs).Results: Across both studies, absolute romantic preferences for psychopathic traits collapsed across time point were low on average, but higher than those for most all other PDs. In addition, they were higher for Factor 1 (i.e., interpersonal/affective) as opposed to Factor 2 (i.e., impulsive, antisocial) psychopathy traits. Participants with marked PD features, including Factor 2 psychopathy traits, were more inclined than others to endorse a preference for psychopathic males.Conclusions: Relative attraction to psychopathic males and observed homophily may be avenues through which psychopathic traits persist in the population across time.",
Endogenous Changes in Public Opinion Dynamics,JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,Mar 31 2019,2019,"Opinion dynamics models usually center on explaining how macro-level regularities in public opinion (uniformity, polarization or clusterization) emerge as the effect of local interactions of a population with an initial random distribution of opinions. However, with only a few exceptions, the understanding of patterns of public opinion change has generally been dismissed in this literature. To address this theoretical gap in our understanding of opinion dynamics, we built a multi-agent simulation model that could help to identify some mechanisms underlying changes in public opinion. Our goal was to build a model whose behavior could show different types of endogenously (not induced by the researcher) triggered transitions (rapid or slow, radical or soft). The paper formalizes a situation where agents embedded in different types of networks (random, small world and scale free networks) interact with their neighbors and express an opinion that is the result of different mechanisms: a coherence mechanism, in which agents try to stick to their previously expressed opinions; an assessment mechanism, in which agents consider available external information on the topic; and a social influence mechanism, in which agents tend to approach their neighbor's opinions. According to our findings, only scale-free networks show fluctuations in public opinion. Public opinion changes in this model appear as a diffusion process of individual opinion shifts that is triggered by an opinion change of a highly connected agent. The frequency, rapidity and radicalness of the diffusion, and hence of public opinion fluctuations, positively depends on how influential external information is in individual opinions and negatively depends on how homophilic social interactions are.",
Offline biases in online platforms: a study of diversity and homophily in Airbnb,EPJ DATA SCIENCE,Mar 29 2019,2019,"How diverse are sharing economy platforms? Are they fair marketplaces, where all participants operate on a level playing field, or are they large-scale online aggregators of offline human biases? Often portrayed as easy-to-access digital spaces whose participants receive equal opportunities, such platforms have recently come under fire due to reports of discriminatory behaviours among their users, and have been associated with gentrification phenomena that exacerbate preexisting inequalities along racial lines. In this paper, we focus on the Airbnb sharing economy platform, and analyse the diversity of its user base across five large cities. We find it to be predominantly young, female, and white. Notably, we find this to be true even in cities with a diverse racial composition. We then introduce a method based on the statistical analysis of networks to quantify behaviours of homophily, heterophily and avoidance between Airbnb hosts and guests. Depending on cities and property types, we do find signals of such behaviours relating both to race and gender. We use these findings to provide platform design recommendations, aimed at exposing and possibly reducing the biases we detect, in support of a more inclusive growth of sharing economy platforms.",
How the study of networks informs knowledge translation and implementation: a scoping review,IMPLEMENTATION SCIENCE,Mar 27 2019,2019,"BackgroundTo date, implementation science has focused largely on identifying the individual and organizational barriers, processes, and outcomes of knowledge translation (KT) (including implementation efforts). Social network analysis (SNA) has the potential to augment our understanding of KT success by applying a network lens that examines the influence of relationships and social structures on research use and intervention acceptability by health professionals. The purpose of this review was to comprehensively map the ways in which SNA methodologies have been applied to the study of KT with respect to health professional networks.MethodsSystematic scoping review methodology involved searching five academic databases for primary research on KT that employed quantitative SNA methods, and inclusion screening using predetermined criteria. Data extraction included information on study aim, population, variables, network properties, theory use, and data collection methods. Descriptive statistics and chronology charting preceded theoretical analysis of findings.ResultsTwenty-seven retained articles describing 19 cross-sectional and 2 longitudinal studies reported on 28 structural properties, with degree centrality, tie characteristics (e.g., homophily, reciprocity), and whole network density being most frequent. Eleven studies examined physician-only networks, 9 focused on interprofessional networks, and 1 reported on a nurse practitioner network. Diffusion of innovation, social contagion, and social influence theories were most commonly applied.ConclusionsEmerging interest in SNA for KT- and implementation-related research is evident. The included articles focused on individual level evidence-based decision-making: we recommend also applying SNA to meso- or macro-level KT activities. SNA research that expands the range of professions under study, examines network dynamics over time, extends the depth of analysis of the role of network structure on KT processes and outcomes, and employs mixed methods to triangulate findings, is needed to advance the field. SNA is a valuable approach for evaluating key network characteristics, structures and positions of relevance to KT, implementation, and evidence informed practice. Examining how network structure influences connections and the implications of those holding prominent network positions can provide insights to improve network-based KT processes.",
Individual-level social influence identification in social media: A learning-simulation coordinated method,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,Mar 16 2019,2019,"This study develops a learning-simulation coordinated method to perform individual-level causal inference and social influence identification in social media. This method uses machine learning models to predict user adoption behavior, uses simulation to infer unobservable potential outcomes, and uses a counterfactual framework to identify individual-level social influence. The method also uses an adjusting strategy to reduce the effect of homophily and correlated unobservables. Empirical results obtained on a synthetic dataset and a semi-synthetic dataset show that the proposed method performs better on causal inference at the individual and aggregate levels than competitive methods. The computational experiment using a real-world database considers three applications, i.e., new product adoption, repeated purchase and cross selling. The empirical results show that the proposed method performs well on identifying influential members. The results reveal that the global hubs and local central nodes of the versatile friend circles have similar influences on the adoption behavior of the followers. (C) 2018 Elsevier B.V. All rights reserved.",
Structural transition in social networks: The role of homophily,SCIENTIFIC REPORTS,Mar 13 2019,2019,"We introduce a model for the formation of social networks, which takes into account the homophily or the tendency of individuals to associate and bond with similar others, and the mechanisms of global and local attachment as well as tie reinforcement due to social interactions between people. We generalize the weighted social network model such that the nodes or individuals have Ffeatures and each feature can have q different values. Here the tendency for the tie formation between two individuals due to the overlap in their features represents homophily. We find a phase transition as a function of F or q, resulting in a phase diagram. For fixed q and as a function of F the system shows two phases separated at F-c. For F < F-c large, homogeneous, and well separated communities can be identified within which the features match almost perfectly (segregated phase). When F becomes larger than Fc the nodes start to belong to several communities and within a community the features match only partially (overlapping phase). Several quantities reflect this transition, including the average degree, clustering coefficient, feature overlap, and the number of communities per node. We also make an attempt to interpret these results in terms of observations on social behavior of humans.",
Hidden patterns Using social network analysis to track career trajectories of women STEM faculty,EQUALITY DIVERSITY AND INCLUSION,Mar 11 2019,2019,"Purpose The purpose of this paper is to describe how one group of ADVANCE Project researchers investigated faculty co-authorship networks to identify relationships between women's positions in these networks, their research productivity and their advancement at the university - and to make those relationships transparent.Design/methodology/approach Multiple methods for capturing faculty network data were evaluated, including collecting self-reported data and mining bibliometric data from various web-based sources. Faculty co-authorship networks were subsequently analyzed using several methodologies including social network analysis (SNA), network visualizations and the Kaplan-Meier product limit estimator.Findings Results suggest that co-authorship provides an important way for faculty to signal the value of their work, meaning that co-authoring with many others may be beneficial to productivity and promotion. However, patterns of homophily indicate that male faculty tend to collaborate more with other men, reducing signaling opportunities for women. Visualizing these networks can assist faculty in finding and connecting with new collaborators and can provide administrators with unique views of the interactions within their organizations. Finally, Kaplan-Meier survival studies showed longitudinal differences in the retention and advancement of faculty based on gender.Originality/value Together, these findings begin to shed light on subtle differences that, over time, may account for the significant gender disparities at STEM institutions, patterns which should be investigated and addressed by administrators. Lessons learned, as well as the novel use of SNA and Kaplan-Meier in investigating gender differences in STEM faculty, provide important findings for other researchers seeking to conduct similar studies at their own institutions.",
